username,urls,post_dates,display_picture_relative_url,captions,n_likes,n_comments,n_hashtags,n_characters,n_words,n_emojis,n_mentions,is_video
justinbieber,https://www.instagram.com/p/BEEqyT1AvmQ,1460405559,./imgs/BEEqyT1AvmQ.png,Purpose tour! What's yours,1368307,14949,0,26,4,0,0,False
justinbieber,https://www.instagram.com/p/CGD_u4onvkh,1602116908,./imgs/CGD_u4onvkh.png,nan,1257131,4770,0,0,0,0,0,False
justinbieber,https://www.instagram.com/p/CK4yuOHH3iE,1612478406,./imgs/CK4yuOHH3iE.png,📷: @rorykramer,935843,3240,0,14,2,1,0,False
justinbieber,https://www.instagram.com/p/CAtCZJwHChA,1590609132,./imgs/CAtCZJwHChA.png,"Then Jesus was led up by the Spirit into the wilderness to be tempted by the devil. And after fasting forty days and forty nights, he was hungry. And the tempter came and said to him, “If you are the Son of God, command these stones to become loaves of bread.” But he answered, “It is written, “‘Man shall not live by bread alone, but by every word that comes from the mouth of God.’”",2249611,16780,0,384,75,0,0,False
justinbieber,https://www.instagram.com/p/hyEsfxAvmd,1386767165,./imgs/hyEsfxAvmd.png,Watching kick ass 2,666491,10964,0,19,4,0,0,False
justinbieber,https://www.instagram.com/p/CQ1IqfUnact,1625240594,./imgs/CQ1IqfUnact.png,nan,973402,3836,0,0,0,0,0,False
justinbieber,https://www.instagram.com/p/n4IcodgvjT,1399855361,./imgs/n4IcodgvjT.png,And u know I got dat . ♛ . (via @shots),1018018,14733,0,39,11,0,0,False
justinbieber,https://www.instagram.com/p/BGZxwjMgvhI,1465408825,./imgs/BGZxwjMgvhI.png,Don't mind waking up to this at all,1034639,6607,0,35,8,0,0,False
justinbieber,https://www.instagram.com/p/COluY1AnmYV,1620428534,./imgs/COluY1AnmYV.png,📷: @rorykramer,811253,3080,0,14,2,1,0,False
justinbieber,https://www.instagram.com/p/B8uNBRdHvy3,1582058341,./imgs/B8uNBRdHvy3.png,Getting ready for tour!! Have you got ur tickets??,953414,13596,0,50,9,0,0,True
justinbieber,https://www.instagram.com/p/MYlhm,1315362336,./imgs/MYlhm.png,Chillin with 2pac,134970,1937,0,17,3,0,0,False
justinbieber,https://www.instagram.com/p/BFCWBU4Avjj,1462475047,./imgs/BFCWBU4Avjj.png,nan,1385592,13380,0,0,0,0,0,False
justinbieber,https://www.instagram.com/p/B6zOwZinScE,1577932039,./imgs/B6zOwZinScE.png,Friday January 3 #yummy,420428,1228,1,23,4,0,0,False
justinbieber,https://www.instagram.com/p/5006pTgvhC,1438399163,./imgs/5006pTgvhC.png,MY SINGLE WHAT DO YOU MEAN IS COMING OUT STAY TUNED!! #fanart #aug28,883751,12168,2,68,13,0,0,False
justinbieber,https://www.instagram.com/p/ZMKAk,1323917001,./imgs/ZMKAk.png,Bieber Lil b voice,173919,4136,0,18,4,0,0,False
justinbieber,https://www.instagram.com/p/CK2i45znWpO,1612402996,./imgs/CK2i45znWpO.png,📷: @rorykramer,863859,4202,0,14,2,1,0,False
justinbieber,https://www.instagram.com/p/B-MHv9Ene2s,1585209705,./imgs/B-MHv9Ene2s.png,#comearoundmechallenge #tiktok,255091,1178,2,30,2,0,0,True
justinbieber,https://www.instagram.com/p/6_H2XfAvse,1440892117,./imgs/6_H2XfAvse.png,I look fat in this picture,1400029,43187,0,26,6,0,0,False
justinbieber,https://www.instagram.com/p/CNQWi5BH_96,1617563907,./imgs/CNQWi5BH_96.png,"Happy Easter, Jesus rose from the Dead. @simplegospel is dropping these limited JESUS ROSE FROM THE DEAD HOODIES, T’S, AND SHORTS AVAILABLE NOW BUT NOT FOR LONG.",1648636,7035,0,161,27,0,0,False
justinbieber,https://www.instagram.com/p/hkjAyVAvlX,1386313298,./imgs/hkjAyVAvlX.png,Rip,803080,12491,0,3,1,0,0,False
justinbieber,https://www.instagram.com/p/c5a8X,1325256563,./imgs/c5a8X.png,Dad rockin a #swaghat,124434,1783,1,21,4,0,0,False
justinbieber,https://www.instagram.com/p/CFcdkiwnmFl,1600790460,./imgs/CFcdkiwnmFl.png,My brother @colinseyes. Honored to make this with you. Holy BTS up now,699295,4262,0,70,13,0,0,True
justinbieber,https://www.instagram.com/p/B0J2KbCnLqy,1563658511,./imgs/B0J2KbCnLqy.png,nan,975969,3121,0,0,0,0,0,False
justinbieber,https://www.instagram.com/p/BDydzI7gvpy,1459794770,./imgs/BDydzI7gvpy.png,nan,1450539,10934,0,0,0,0,0,False
justinbieber,https://www.instagram.com/p/r59rfZAvhA,1408506759,./imgs/r59rfZAvhA.png,@poobear,576561,6862,0,8,1,0,0,True
justinbieber,https://www.instagram.com/p/CFQfiAIn1LN,1600388749,./imgs/CFQfiAIn1LN.png,Thank you for using ur platform to have important discussions about things that truly matter! Proud and honored to be your friend @c.syresmith I learn so much from you,1131577,3060,0,167,29,0,0,False
justinbieber,https://www.instagram.com/p/CMnMnSjn63x,1616182968,./imgs/CMnMnSjn63x.png,nan,2323125,10143,0,0,0,0,2,False
justinbieber,https://www.instagram.com/p/B4v3EtGHDgN,1573523992,./imgs/B4v3EtGHDgN.png,nan,375927,1262,0,0,0,0,0,False
justinbieber,https://www.instagram.com/p/CITlT4PHzvh,1606934893,./imgs/CITlT4PHzvh.png,nan,805830,6279,0,0,0,0,0,False
justinbieber,https://www.instagram.com/p/yiZWTjgvus,1422748344,./imgs/yiZWTjgvus.png,nan,1644886,50680,0,0,0,0,0,False
justinbieber,https://www.instagram.com/p/BBBqY79Avn6,1453862237,./imgs/BBBqY79Avn6.png,My great grandpa swaggin ,1455667,22175,0,25,4,0,0,False
justinbieber,https://www.instagram.com/p/BJB9S4PBy_L,1471052018,./imgs/BJB9S4PBy_L.png,nan,1630142,41006,0,0,0,0,0,False
justinbieber,https://www.instagram.com/p/B_kPs3QnLVf,1588166636,./imgs/B_kPs3QnLVf.png,nan,2078304,7562,0,0,0,0,0,False
justinbieber,https://www.instagram.com/p/8zWt7VAvgm,1444792227,./imgs/8zWt7VAvgm.png,Thank you @brooklynprojectsla for the love!! If you guys wanna find the exclusive stuff checkout their stuff.,969635,5625,0,109,17,0,1,False
justinbieber,https://www.instagram.com/p/-cKjVBAvqi,1448309064,./imgs/-cKjVBAvqi.png,He is living water thurst no more,1434296,17847,0,33,7,0,1,False
justinbieber,https://www.instagram.com/p/BHAoelUAvja,1466712582,./imgs/BHAoelUAvja.png,nan,1186766,5155,0,0,0,0,0,False
justinbieber,https://www.instagram.com/p/B9SMDaDneNK,1583265823,./imgs/B9SMDaDneNK.png,nan,391614,2424,0,0,0,0,0,True
justinbieber,https://www.instagram.com/p/B50mt29F1Ic,1575830722,./imgs/B50mt29F1Ic.png,"GOOD MORNING HERE IS A GUIDED PRAYER TO START YOUR DAY,! FIND A COMFY POSITION AND ENJOY! @churchome @judahsmith",235084,1730,0,112,19,0,0,True
justinbieber,https://www.instagram.com/p/CbDW-XLp-55,1647192695,./imgs/CbDW-XLp-55.png,📷 : @rorykramer,1726955,7010,0,15,3,1,0,False
justinbieber,https://www.instagram.com/p/B-gKjT5H_MT,1585882235,./imgs/B-gKjT5H_MT.png,Our fav @billieeilish,3534826,20146,0,21,3,0,0,False
justinbieber,https://www.instagram.com/p/BIJncKsBn3W,1469161512,./imgs/BIJncKsBn3W.png,New single #coldwater out now. @majorlazer @momomoyouth,937855,29426,1,55,7,0,0,False
justinbieber,https://www.instagram.com/p/hCDsIUgvlg,1385156025,./imgs/hCDsIUgvlg.png,nan,639500,5529,0,0,0,0,0,False
justinbieber,https://www.instagram.com/p/6sjQ_Dgvn8,1440268957,./imgs/6sjQ_Dgvn8.png,Thanks @elvisduran. See u Monday. @elvisduranshow what do you mean? @z100newyork #6days,646078,2355,1,87,12,0,0,False
